No.,Spec.,b,h,D,H,LamdaC,Ag,Circular,TypeCon,fcp,TypeL,RhoEf,Bars,EfrpL,ffuL,efuL,TypeH,Bars,Config,SpacPitch,EfrpH,ffuH,efuH,e,EoverD,Pexp
60,G60E0,-,-,210,800,15,34636,Yes,NWC,85,GFRP,2.2,6 No. 4,52,1190,2.28,GFRP,No. 3,Spiral,60,57,1320,2.31,0,0,2721
61,G60E25,-,-,210,800,15,34636,Yes,NWC,85,GFRP,2.2,6 No. 4,52,1190,2.28,GFRP,No. 3,Spiral,60,57,1320,2.31,25,12,1599
62,G60E50,-,-,210,800,15,34636,Yes,NWC,85,GFRP,2.2,6 No. 4,52,1190,2.28,GFRP,No. 3,Spiral,60,57,1320,2.31,50,24,1023
63,G30E0,-,-,210,800,15,34636,Yes,NWC,85,GFRP,2.2,6 No. 4,52,1190,2.28,GFRP,No. 3,Spiral,30,57,1320,2.31,0,0,2398
64,G30E25,-,-,210,800,15,34636,Yes,NWC,85,GFRP,2.2,6 No. 4,52,1190,2.28,GFRP,No. 3,Spiral,30,57,1320,2.31,25,12,1572
65,G30E50,-,-,210,800,15,34636,Yes,NWC,85,GFRP,2.2,6 No. 4,52,1190,2.28,GFRP,No. 3,Spiral,30,57,1320,2.31,50,24,958
66,G150-C,260,160,-,1200,16,41600,No,NWC,32.75,GFRP,1.83,6 No. 4,46.3,708,1.7,GFRP,No. 2,Ties,150,46.1,784,1.9,0,0,1366.76
67,G150-25,260,160,-,1200,16,41600,No,NWC,32.75,GFRP,1.83,6 No. 4,46.3,708,1.7,GFRP,No. 2,Ties,150,46.1,784,1.9,25,16,880.28
68,G150-45,260,160,-,1200,16,41600,No,NWC,32.75,GFRP,1.83,6 No. 4,46.3,708,1.7,GFRP,No. 2,Ties,150,46.1,784,1.9,45,28,584.21
69,G75-C,260,160,-,1200,16,41600,No,NWC,32.75,GFRP,1.83,6 No. 4,46.3,708,1.7,GFRP,No. 2,Ties,75,46.1,784,1.9,0,0,1449.06
70,G75-75,260,160,-,1200,16,41600,No,NWC,32.75,GFRP,1.83,6 No. 4,46.3,708,1.7,GFRP,No. 2,Ties,75,46.1,784,1.9,25,16,917.16
71,G75-35,260,160,-,1200,16,41600,No,NWC,32.75,GFRP,1.83,6 No. 4,46.3,708,1.7,GFRP,No. 2,Ties,75,46.1,784,1.9,35,22,787.8
72,G250-C,260,160,-,1200,16,41600,No,NWC,32.75,GFRP,1.83,6 No. 4,46.3,708,1.7,GFRP,No. 2,Ties,250,46.1,784,1.9,0,0,1401.8
73,HC-A-0,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,0,0,4709
74,HC-A-25,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,25,8,3309
75,HC-A-50,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,50,16,2380
76,HC-A-100,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,100,33,1112
77,HC-A-200,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,200,66,497
78,HC-B-0,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,0,0,4716
79,HC-B-25,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,25,8,3380
80,HC-B-50,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,50,16,2339
81,HC-B-100,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,100,33,1135
82,HC-B-200,-,-,305,1500,20,73062,Yes,NWC,70.2,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,200,66,513
83,C-0,-,-,305,1500,20,73062,Yes,NWC,35,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,0,0,3090
84,C-25,-,-,305,1500,20,73062,Yes,NWC,35,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,25,8,2342
85,C-50,-,-,305,1500,20,73062,Yes,NWC,35,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,50,16,1746
86,C-100,-,-,305,1500,20,73062,Yes,NWC,35,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,100,33,995
87,C-200,-,-,305,1500,20,73062,Yes,NWC,35,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,200,66,529
88,H-C-e0,-,-,305,1500,20,73062,Yes,NWC,70.2,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,0,0,5120
89,H-C-e25,-,-,305,1500,20,73062,Yes,NWC,70.2,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,25,8,3671
90,H-C-e50,-,-,305,1500,20,73062,Yes,NWC,70.2,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,50,16,2538
91,H-C-e100,-,-,305,1500,20,73062,Yes,NWC,70.2,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,100,33,1392
92,H-C-e200,-,-,305,1500,20,73062,Yes,NWC,70.2,CFRP,2.18,8 No. 5,141,1680,1.19,CFRP,No. 3,Spiral,80,130,1562,1.2,200,66,611
93,C1-I,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,0,0,2608
94,EC1-I,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,25,8,2134
95,EC2-I,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,50,16,1513
96,EC3-I,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,100,33,745
